step,avg_violations,min_violations,homogeneity,network,seed
34,51.30315789473684,26,0.607957894736842,Congress Twitter,42
35,50.90105263157895,26,0.6105263157894736,Congress Twitter,42
36,50.66105263157895,26,0.6133473684210526,Congress Twitter,42
37,50.29263157894737,26,0.6161684210526316,Congress Twitter,42
38,49.87157894736842,26,0.6191999999999998,Congress Twitter,42
39,49.54526315789474,26,0.6213894736842105,Congress Twitter,42
40,49.03368421052632,25,0.6230736842105261,Congress Twitter,42
41,48.81894736842105,25,0.6247999999999998,Congress Twitter,42
42,48.45894736842105,25,0.6269052631578947,Congress Twitter,42
43,48.141052631578944,25,0.6294315789473682,Congress Twitter,42
44,47.869473684210526,25,0.6314526315789475,Congress Twitter,42
45,47.549473684210525,24,0.6344000000000001,Congress Twitter,42
46,47.229473684210525,24,0.6368842105263157,Congress Twitter,42
47,46.934736842105266,24,0.6397052631578949,Congress Twitter,42
48,46.67368421052632,24,0.6417684210526313,Congress Twitter,42
49,46.33894736842105,24,0.6442526315789472,Congress Twitter,42
50,46.02105263157895,24,0.6469894736842106,Congress Twitter,42
51,45.72,24,0.6494736842105263,Congress Twitter,42
52,45.44,24,0.6519157894736842,Congress Twitter,42
53,45.126315789473686,23,0.6551157894736841,Congress Twitter,42
54,44.915789473684214,23,0.6569263157894738,Congress Twitter,42
55,44.63789473684211,23,0.6597894736842107,Congress Twitter,42
56,44.37894736842105,23,0.6625263157894736,Congress Twitter,42
57,44.12421052631579,23,0.6651789473684211,Congress Twitter,42
58,43.863157894736844,23,0.6673263157894739,Congress Twitter,42
59,43.62105263157895,23,0.6698947368421053,Congress Twitter,42
60,43.141052631578944,23,0.6720421052631579,Congress Twitter,42
61,42.892631578947366,23,0.6748631578947368,Congress Twitter,42
62,42.62315789473684,23,0.6776421052631576,Congress Twitter,42
63,42.374736842105264,23,0.6799157894736841,Congress Twitter,42
64,42.12842105263158,23,0.6821894736842101,Congress Twitter,42
65,41.81894736842105,23,0.6851789473684211,Congress Twitter,42
66,41.59578947368421,23,0.687536842105263,Congress Twitter,42
67,41.32631578947368,23,0.6900631578947366,Congress Twitter,42
68,41.11157894736842,23,0.6919157894736844,Congress Twitter,42
69,40.85473684210526,23,0.6941473684210527,Congress Twitter,42
70,40.77263157894737,22,0.696505263157895,Congress Twitter,42
71,40.543157894736844,22,0.6980631578947368,Congress Twitter,42
72,40.28631578947368,22,0.7000421052631579,Congress Twitter,42
73,40.12210526315789,22,0.7015157894736843,Congress Twitter,42
74,39.92842105263158,22,0.7030315789473687,Congress Twitter,42
75,39.741052631578945,22,0.7048842105263159,Congress Twitter,42
76,39.57473684210526,22,0.706063157894737,Congress Twitter,42
77,39.36421052631579,22,0.7074526315789474,Congress Twitter,42
78,39.14736842105263,22,0.7095157894736844,Congress Twitter,42
79,38.97052631578947,21,0.7113684210526314,Congress Twitter,42
80,39.12421052631579,22,0.7127578947368423,Congress Twitter,42
81,38.95789473684211,22,0.7141473684210525,Congress Twitter,42
82,38.77473684210526,22,0.7154947368421051,Congress Twitter,42
83,38.654736842105265,22,0.7170947368421051,Congress Twitter,42
84,38.509473684210526,22,0.7184842105263156,Congress Twitter,42
85,38.30105263157895,22,0.7203789473684212,Congress Twitter,42
86,38.1178947368421,22,0.7217263157894734,Congress Twitter,42
87,38.02736842105263,22,0.7224421052631577,Congress Twitter,42
88,37.91368421052631,22,0.7232421052631577,Congress Twitter,42
89,37.76631578947369,22,0.7245473684210527,Congress Twitter,42
90,38.02105263157895,23,0.725557894736842,Congress Twitter,42
91,37.81263157894737,23,0.7264842105263157,Congress Twitter,42
92,37.69263157894737,22,0.7272842105263158,Congress Twitter,42
93,37.53052631578947,22,0.7281684210526315,Congress Twitter,42
94,37.31368421052632,22,0.7285473684210527,Congress Twitter,42
95,37.1578947368421,22,0.7296421052631581,Congress Twitter,42
96,37.01894736842105,22,0.7306105263157896,Congress Twitter,42
97,36.846315789473685,22,0.7312000000000001,Congress Twitter,42
98,36.688421052631575,22,0.7324210526315789,Congress Twitter,42
99,36.486315789473686,22,0.7340631578947368,Congress Twitter,42
100,36.78526315789474,23,0.7360421052631579,Congress Twitter,42
101,36.654736842105265,22,0.7370526315789477,Congress Twitter,42
102,36.47157894736842,22,0.7388631578947369,Congress Twitter,42
103,36.32421052631579,22,0.7402105263157894,Congress Twitter,42
