topo,seed,agent,indeg,eig,meanV
Scale Free,46,30,6,0.2857,29.296
Scale Free,46,31,3,0.1429,30.672
Scale Free,46,32,1,0.0476,29.908
Scale Free,46,33,8,0.381,27.19
Scale Free,46,34,4,0.1905,28.356
Scale Free,46,35,3,0.1429,27.308
Scale Free,46,36,5,0.2381,29.846
Scale Free,46,37,0,0.0,34.848
Scale Free,46,38,1,0.0476,34.862
Scale Free,46,39,3,0.1429,29.46
Scale Free,46,40,3,0.1429,32.3
Scale Free,46,41,2,0.0952,31.682
Scale Free,46,42,0,0.0,33.16
Scale Free,46,43,7,0.3333,26.238
Scale Free,46,44,2,0.0952,28.776
Scale Free,46,45,4,0.1905,29.852
Scale Free,46,46,1,0.0476,31.28
Scale Free,46,47,0,0.0,30.916
Scale Free,46,48,1,0.0476,30.752
Scale Free,46,49,4,0.1905,29.104
Scale Free,46,50,3,0.1429,30.164
Scale Free,46,51,3,0.1429,30.924
Scale Free,46,52,2,0.0952,30.074
Scale Free,46,53,0,0.0,32.998
Scale Free,46,54,1,0.0476,31.55
Scale Free,46,55,3,0.1429,27.234
Scale Free,46,56,0,0.0,27.45
Scale Free,46,57,0,0.0,33.206
Scale Free,46,58,2,0.0952,29.372
Scale Free,46,59,4,0.1905,28.786
Scale Free,46,60,3,0.1429,30.348
Scale Free,46,61,2,0.0952,31.576
Scale Free,46,62,4,0.1905,27.816
Scale Free,46,63,1,0.0476,30.23
Scale Free,46,64,2,0.0952,30.018
Scale Free,46,65,2,0.0952,25.302
Scale Free,46,66,3,0.1429,28.04
Scale Free,46,67,2,0.0952,30.002
Scale Free,46,68,3,0.1429,29.284
Scale Free,46,69,2,0.0952,30.164
Scale Free,46,70,1,0.0476,30.41
Scale Free,46,71,3,0.1429,31.04
Scale Free,46,72,1,0.0476,29.156
Scale Free,46,73,3,0.1429,31.058
Scale Free,46,74,1,0.0476,35.188
Scale Free,46,75,1,0.0476,29.38
Scale Free,46,76,1,0.0476,34.332
Scale Free,46,77,1,0.0476,28.59
Scale Free,46,78,0,0.0,30.72
Scale Free,46,79,1,0.0476,30.228
Scale Free,47,0,15,0.625,26.576
Scale Free,47,1,24,1.0,24.828
Scale Free,47,2,19,0.7917,25.41
Scale Free,47,3,17,0.7083,25.792
Scale Free,47,4,2,0.0833,31.012
Scale Free,47,5,0,0.0,31.698
Scale Free,47,6,0,0.0,30.564
Scale Free,47,7,6,0.25,28.322
Scale Free,47,8,7,0.2917,28.166
Scale Free,47,9,3,0.125,33.318
Scale Free,47,10,2,0.0833,27.274
